function_ID,run_ID,dim,best_fitness,time_period,communication_percentage,total_FEs,node_num,total_pop_size,interval,migration_size,buffer_capacity,migration_topology,buffer_manage,EA_parameters
23,6,10,393.961,3.40376,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,365.625,3.38052,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,385.367,3.37998,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,369.214,3.39325,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,379.132,3.40073,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,375.089,3.38111,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,350.436,3.39714,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,426.688,3.38141,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,388.043,3.39082,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,376.888,3.39093,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,102.399,5.70469,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,102.543,3.36314,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,102.273,5.3019,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,102.927,1.95491,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,387.14,14.4321,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,102.829,5.30593,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,102.698,2.0767,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,101.961,21.5251,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,103.122,5.30571,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,102.569,2.07022,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,5,10,102.318,5.31117,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,5,10,102.474,2.08147,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,411.992,14.5918,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,6,10,103.199,5.30674,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
